Name,Gender,Nationality,Birth Year,Death Year
Enrique Brinkmann,Male,Spanish,1938,
Horace Bristol,Male,American,1908,1997
L. N. Britton,,American,1858,1934
René Brô,Male,French,1930,1987
John Brockman,Male,American,1941,
Gottfried Brockmann,Male,German,1903,1983
Gandy Brodie,Male,American,1925,1975
Alexey Brodovitch,Male,American,1898,1971
Alexander Brodsky,Male,Russian,,
Jürgen Brodwolf,Male,Swiss,1932,
Stephen Brody,Male,American,1926,
Horace Brodzky,Male,American,1885,1969
Stig Brøgger,Male,Danish,1941,
Robert Broner,Male,American,1922,2010
Marcel Broodthaers,Male,Belgian,1924,1976
Alexander Brook,Male,American,1898,1980
John Brook,Male,American,1924,
James Brooks,Male,American,1906,1992
Milton Brooks,Male,American,1901,1956
Wendell Brooks,Male,American,1939,
Harry Brorby,Male,American,1927,2012
Joan Brossa,Male,Spanish,1919,1998
Gary Stephen Brotmeyer,Male,American,1946,
Arthur William Brown,Male,American,1881,1966
Gustav A. Brown,Male,American,1908,
James Brown,Male,American,1951,
Joan Brown,Female,American,1938,1990
Kathan Brown,Female,American,1935,
Margaret DeM Brown,Female,American,,
Ray Brown,Male,American,1933,
Roger Brown,Male,American,1941,1997
William Brown,Male,American,,
Byron Browne,Male,American,1907,1961
Colleen Browning,Female,American,1923,
Robert Brownjohn,Male,American,1925,1970
Kenneth Brozen,Male,American,1927,1989
Roser Llop Bru,Female,Chilean,1923,
Salvador Bru,Male,Chilean,1923,
Jon O. Brubaker,Male,American,1875,1953
Patrick Henry Bruce,Male,American,1881,1936
Anton Bruehl,Male,American,1900,1982
Francis Bruguière,Male,American,1879,1945
Paul Brühwiler,Male,Swiss,1939,
William Brui,Male,Israeli,1946,
Brumhoff,,Nationality unknown,,
Donald Brun,Male,Swiss,1909,1999
Peter Brüning,Male,German,1929,1970
Robert Brunner,Male,American,1958,
Albin Brunovsky,Male,Slovak,,
Norman Bruns,Male,American,1921,2005
Günter Brus,Male,Austrian,1938,
Grisha Bruskin,Male,Russian,1945,
Wim Brusse,Male,Dutch,1910,1978
William Bryant,Male,American,1946,
Camille Bryen,Female,French,1907,1976
Tadeusz Brzozowski,Male,Polish,1918,1987
Gernot Bubenik,Male,German,1942,
Boris Bućan,Male,Croatian,1947,
Erich Buchegger,Male,Austrian,1924,
Gustave Buchet,Male,Swiss,1888,1963
Carl Buchheister,Male,German,1890,1964
Erich Buchholz,Male,German,1891,1972
John Buck,Male,American,1946,
Peer Bücking,,German,1906,1940
John Buckland-Wright,Male,British,1897,1954
Peter H. Buckley,Male,American,1925,1991
Stephen Buckley,Male,British,,
David Budd,Male,American,1927,1991
Dan Budnik,Male,American,1933,
Budry,,Greek,,
Eugene Buechel,Male,American,1874,1954
Alice Standish Buell,Female,American,1892,1964
Bernard Buffet,Male,French,1928,1999
Fritz Bühler,Male,Swiss,1909,1963
Felix Buhot,Male,French,1847,1898
Adam Bujak,Male,Polish,1940,
John G. Bullock,Male,American,1854,1939
Wynn Bullock,Male,American,1902,1975
Torun Bülow-Hübe,Female,Swedish,1929,
Louis Bunce,Male,American,1907,1983
Willi Bunkowski,Male,German,1949,
Édouard-Wilfred Buquet,Male,French,1866,
Pierre Buraglio,Male,French,1939,
Pablo Burchard,Male,Chilean,1875,1964
Max Burchartz,Male,German,1887,1961
Charles Burchfield,Male,American,1893,1967
Chris Burden,Male,American,1946,2015
Daniel Buren,Male,French,1938,
Bill Burke,Male,American,1943,
Burkhard,,Swiss,,
Paul Burlin,Male,American,1886,1969
David Burliuk,Male,Ukrainian,1882,1967
Ian Burn,Male,Australian,1939,1993
Edward Burne-Jones,Male,British,1833,1898
Deirdre Burnett,Female,British,1939,
Joseph Burnett,Male,American,1923,
Marsha Burns,Female,American,1945,
Edward Burra,Male,British,1905,1976
Alberto Burri,Male,Italian,1915,1995
René Burri,Male,Swiss,1933,2014
Larry Burrows,Male,British,1926,1971
Richmond Burton,Male,American,1960,
Scott Burton,Male,American,1939,1989
Pol Bury,Male,Belgian,1922,2005
Andrew Foster Bush,Male,American,1956,
Jack Bush,Male,Canadian,1909,1977
Wolf von dem Bussche,Male,American,1934,2014
Solomon D. Butcher,Male,American,1856,1927
Frances Butler,Female,American,1940,
Horacio A. Butler,Male,Argentine,1897,1983
Reg Butler,Male,British,1913,1983
Elizabeth Butterworth,Female,British,1949,
James Lee Byars,Male,American,1932,1997
Michael Byron,Male,American,1954,
C.N. and Company,,British,,
Roland Cabot,Male,Brazilian,,
Luigi Caccia Dominioni,Male,Italian,1913,
Cadavre Exquis,,French,,
John Cadenhead,Male,American,1937,
Paul Cadmus,Male,American,1904,1999
Poul Cadovius,Male,Danish,1911,
Deborah Fleming Caffery,Female,American,1948,
John Cage,Male,American,1912,1992
Corrado Cagli,Male,American,1910,1976
Miriam Cahn,Female,Swiss,1949,
Marcelle Cahn,Female,French,1895,1981
Fred Cain,Male,American,1938,
José Milner Cajahuaringa,Male,Peruvian,1932,
Charles Cajori,Male,American,1921,
Letterio Calapai,Male,American,1902,1993
Nicolas Calas,Male,American,1907,
Lawrence Calcagno,Male,American,1916,1993
Alexander Calder,Male,American,1898,1976
Dale R. Caldwell,Male,American,1929,
Harry Callahan,Male,American,1912,1999
Kenneth Callahan,Male,American,1905,1986
Mary Callery,Female,American,1903,1977
Edwin Calligan,Male,British,,
Jo Ann Callis,Female,American,1940,
P. E. Camerer St. Paul MN,,American,,
Julia Margaret Cameron,Female,British,1815,1879
Julio Camino Sanchez,Male,Peruvian,1919,2007
Luis Camnitzer,Male,Uruguayan,1937,
Charles Camoin,Male,French,1879,1965
Nickie Campbell,,American,1962,
Jewett Campbell,Male,American,1912,1999
Steven Campbell,Male,British,1954,
Heinrich Campendonk,Male,German,1889,1957
Antonia Campi,Female,Italian,1921,
Massimo Campigli,Male,Italian,1895,1971
Peter Campus,Male,American,1937,
Vincent Canadé,Male,American,1879,1961
Cañavate,Male,Spanish,1902,1987
John Candelario,Male,American,1916,
Louis Cane,Male,French,1943,
Giacomo Caneva,Male,Italian,1810,1890
Johannes Canis,Male,German,1895,1977
Rafael Canogar,Male,Spanish,1935,
Domenico Cantatore,Male,Italian,1906,1998
Federico Cantú,Male,Mexican,,
Cornell Capa,Male,American,1918,2008
Robert Capa,Male,American,1913,1954
Bruno Capacci,Male,Italian,1906,
Josef Capek,Male,Czech,1887,1945
Alfred Capel-Cure,Male,British,1826,1896
Giuseppe Capogrossi,Male,Italian,1900,1972
Paul Caponigro,Male,American,1932,
Leonetto Cappiello,Male,French,1875,1942
Luis B. Caputo Demarco,Male,Argentine,1899,1994
Aida Carballo,Female,Argentine,,
Miguel-Ángel Cárdenas,Male,Dutch,1934,2015
Augustin Càrdenas,Male,Cuban,1927,2001
Santiago Cárdenas,Male,Colombian,1937,
Emil Cardinaux,Male,Swiss,1877,1936
José Bernardo Cardoso Jr.,Male,Brazilian,1861,1947
Etienne Carjat,Male,French,1829,1906
Arthur B. Carles,Male,American,1882,1952
C. Carleton,,American,,
Marie Carlier,Female,French,1920,1986
Charles W. Carlson,Male,American,,
Richard Carlson,Male,Australian,1941,
Jean Carlu,Male,French,1900,1997
Natacha Carlu,Female,Nationality unknown,,
Eugenio Carmi,Male,Italian,1920,
John William Carnell,Male,American,1952,
Anthony Caro,Male,British,1924,2013
Carol,,Cuban,,
Paolo Carosone,Male,Italian,,
Carpenter,,British,,
William L. Carqueville,Male,American,1871,1946
Carlo Carrà,Male,Italian,1881,1966
Mario Carreño,Male,Chilean,1913,1999
Clara Carrié,Female,Argentine,,
Eugène Carrière,Male,French,1849,1906
Mario Carrieri,Male,Italian,1932,
Leonora Carrington,Female,British,1917,2011
John Carroll,Male,American,1892,1959
Patricia Jon Carroll,Female,American,1942,
Clarence H. Carter,Male,American,1904,2000
Paul Carter,Male,American,1903,1938
Henri Cartier-Bresson,Male,French,1908,2004
Flavio de R. Carvalho,Male,Brazilian,1899,1973
Carybé (Hector Bernabó),Male,Brazilian,1911,1997
John Casado,Male,American,1944,
Andrea Cascella,Female,Italian,1920,1990
Pietro Cascella,Male,Italian,1921,
Jacqueline S. Casey,Female,American,1927,
Sydney Cash,Male,American,1941,
Casio Computer Co. Ltd.,,Japanese,1957,
Tranquillo Casiraghi,Male,Italian,1923,2005
Felice Casorati,Female,Italian,,
Karl Caspar,Male,German,1879,1956
A. M. Cassandre,Male,French,1901,1968
Mary Cassatt,Female,American,1844,1926
Axel Cassel,Male,French,1955,2015
Herbert Carroll Cassill,Male,American,1928,
Rodolfo V Castagna,Male,Argentine,,
Moshe Elazar Castel,Male,Israeli,1909,1992
Pedro Castelar Báez,Male,Mexican,,
Enrico Castellani,Male,Italian,1930,
Julio Castellanos,Male,Mexican,1905,1947
Federico Castellon,Male,American,1914,1971
Achille Castiglioni,Male,Italian,1918,2002
Pier Giacomo Castiglioni,Male,Italian,1913,1968
Fernando Castillo,Male,Mexican,1882,1940
Rosemarie Castoro,Female,American,1939,2015
Vita Castro,Female,Mexican,,
Enrique Castro-Cid,Male,Chilean,1937,1992
P. H. Caswell,,American,,
Umberto Catalano,Male,Italian,1944,
Elizabeth Catlett,Female,American,1915,2012
Bob Cato,Male,Nationality unknown,1923,
Patrick Caulfield,Male,British,1936,2005
Cause,,French,,
Alik Cavaliere,Male,Italian,1926,
Giorgio Cavallon,Male,American,1904,1989
Cazals,Male,French,1865,1941
Bruno Ceccobelli,Male,Italian,1952,
Francis Celentano,Male,American,1928,
Stojan Celic,Male,Nationality unknown,,
Perez Celis,Male,Argentine,,
Vija Celmins,Female,American,1938,
Centrokappa Design and Communication,,Italian,1972,
Edmond Ceria,Male,French,1884,1955
Emilio Cerri,Male,Italian,,1947
César (César Baldaccini),Male,French,1921,1998
Paul Cézanne,Male,French,1839,1906
Lynn Chadwick,Male,British,1914,2003
Marc Chagall,Male,French,1887,1985
Roger Chailloux,Male,Dutch,,
Gaston Chaissac,Male,French,1910,1964
Paul Chaleff,Male,American,1947,
Samuel Chamberlain,Male,American,1895,1975
John Chamberlain,Male,American,1927,2011
Chambers,,American,,
Martín Chambi,Male,Peruvian,1891,1973
Roger Chancel,Male,French,1898,1976
Bruce Chandler,Male,American,1945,
Linda Chapman,Female,American,1952,
André Chapon,Male,French,,
Walter Chappell,Male,American,1925,
Serge Charchoune,Male,Russian,1888,1975
Chargesheimer (Karl-Heinz Hargesheimer),Male,German,1924,1972
Sarah Charlesworth,Female,American,1947,2013
Jean Charlot,Male,American,1898,1979
Louisa Chase,Female,American,1951,
Theodore Chassériau,Male,French,1819,1856
Roger Chastel,Male,French,1897,1981
Edward Chavez,Male,American,1917,1995
José Chávez Morado,Male,Mexican,1909,2002
Santos Chávez,Male,Chilean,1934,2001
Bernard Cheese,Male,British,,
Cheng Sha Ping,,Chinese,,
Jules Chéret,Male,French,1836,1932
Ivan Chermayeff,Male,American,1932,
Norman Cherner,Male,American,1920,
Iakov Chernikhov,Male,Russian,1889,1951
Michael Chernyshov,Male,Russian,1945,
Lee Chesney,Male,American,1920,
Sandro Chia,Male,Italian,1946,
Miriam Chiaverini,Female,Nationality unknown,,
Judy Chicago,Female,American,1937,
John Chick,Male,American,,
Pietro Chiesa,Male,Italian,1892,1948
Chikuchi Toshio,,,,
Bernard Childs,Male,American,1910,1985
Eduardo Chillida,Male,Spanish,1924,2002
Thomas Chimes,Male,American,1921,2009
Giorgio de Chirico,Male,Italian,1888,1978
Marcel Chirnoaga,Male,Romanian,1930,
Anna Chojnacka,Female,Polish,1914,
Seiji Chokai,Male,Japanese,1902,1972
Chunghi Choo,Female,American,1938,
Gilles-Louis Chrétien,Male,French,,
William Christenberry,Male,American,1936,2016
Dan Christensen,Male,American,1942,2007
Christo,Male,American,1935,
Howard Chandler Christy,Male,American,1872,1952
Halina Chrostowska,Female,Polish,1929,1990
Chryssa,Female,American,1933,2013
Caldecot Chubb,Male,American,,
John W. Church,Male,American,,
Seymour Chwast,Male,American,1931,
Michael Ciavolino,Male,American,1924,
Carmen L. Cicero,Male,American,1926,
Roman Cieslewicz,Male,French,1930,1996
Nicolai Cikovsky,Male,American,1894,1984
Carlo Cisventi,Male,Italian,1929,
Paul Citroen,Male,Dutch,1896,1983
Minna Citron,Female,American,1896,1991
Pierre Eugène Clairin,Male,French,1897,1980
Larry Clark,Male,American,1943,
John Clem Clarke,Male,American,1937,
Edna Clarke-Hall,Female,British,1879,1979
José Claudio Da Silva,Male,Brazilian,1932,
Carlfriedrich Claus,Male,German,1930,1998
Antoni Clavé,Male,Spanish,1913,
Maude Schuyler Clay,Female,American,1953,
Cléanthe (Cléante Carr),Female,American,1911,2001
Roman Clemens,Male,Swiss,1910,1992
Gisela Clemens,Female,German,,
Mildred Leo Clemens,Female,Nationality unknown,,
Francesco Clemente,Male,Italian,1952,
Lucien Clergue,Male,French,1934,
Fabrizio Clerici,Male,Italian,1913,1993
Pierre Clerk,Male,Canadian,1928,
Henry Cliffe,Male,British,,
Charles Clifford,Male,British,1819,1863
William Clift,Male,American,1944,
Paul Clinton,Male,American,1942,
Carroll Cloar,Male,American,1913,1993
Chuck Close,Male,American,1940,
John Timothy Close,Male,American,1958,
Emile Clouet,Male,French,,
Prunella Clough,Female,British,,
Stanley T. Clough,Male,American,,
William Clutz,Male,American,1933,
Gerald Coble,Male,American,1933,
Chema Cobo,Male,Spanish,1952,
Alvin Langdon Coburn,Male,American,1882,1966
Sam Cocomise,Male,Nationality unknown,,
Jean Cocteau,Male,French,1889,1963
Sue Coe,Female,British,1951,
Haskell Coffin,Male,American,,
Bernard Cohen,Male,British,1933,
Barry Cohen,Male,American,1934,1990
George Cohen,Male,American,1919,1999
Mark Cohen,Male,American,1943,
Sheldon Cohen,Male,Canadian,1949,
Pinchas Cohen Gan,Male,Israeli,1942,
Charles Coiner,Male,Nationality unknown,1898,1989
Van Deren Coke,Male,American,1921,
Luigi Colani,Male,German,1928,
Isaac I. Cole,Male,American,,
Glenn O. Coleman,Male,American,1887,1932
Robert Colescott,Male,American,1925,2009
Warrington Colescott,Male,American,1921,
Paul Colin,Male,French,1892,1985
Edward Colker,Male,American,1927,
Ettore Colla,Male,Italian,1899,1968
John Collins,Male,American,1888,1991
Leo Collins,Male,American,,
Marjory Collins,Female,American,1912,1985
André Collot,Male,French,1897,1976
Roy Colmer,Male,British,1935,2014
Gino Colombini,Male,Italian,1915,
Gianni Colombo,Male,Italian,1937,1993
Joe Colombo,Male,Italian,1930,1971
Ithell Colquhoun,Female,British,1906,1988
Robert Colquhoun,Male,British,1914,1962
Greg Colson,Male,American,1956,
Ian Colverson,Male,British,1940,
Alex Colville,Male,Canadian,1920,2013
Franklin Colvin,Male,American,,
Ulysse Comtois,Male,Canadian,1931,1999
Edward Condak,Male,American,,
Miguel Conde,Male,Mexican,1939,
Charles Conder,Male,British,1868,1909
George Condo,Male,American,1957,
William Congdon,Male,American,1912,1998
Lee Conklin,Female,American,1941,
Will Connell,Male,American,1898,1961
Bruce Conner,Male,American,1933,2008
Gregory Conniff,Male,American,1944,
Linda Connor,Female,American,1944,
Robert Conover,Male,American,,
Conrad,,American,,
Conran Associates,,British,1955,
Pietro Consagra,Male,Italian,1920,2005
William H. Constable,Male,Australian,1906,1989
Denis Constanduros,Male,Nationality unknown,,
Constant (Constant Anton Nieuwenhuys),Male,Dutch,1920,2005
George Constant,Male,American,1892,1978
D. Constantin,Male,Greek,,
Howard Cook,Male,American,1901,1980
Lia Cook,Female,American,1942,
Austin Cooper,Male,British,1890,1964
Frederick George Cooper,Male,American,1892,1962
Francisco Copello,Male,Chilean,1938,2006
Hans Coper,Male,British,1920,1981
Andries Dirk Copier,Male,Dutch,1901,1991
John Coplans,Male,British,1920,2003
William Copley,Male,American,1919,1996
Silvio Coppola,Male,Italian,1920,1986
Edward Corbett,Male,American,1919,1971
Al Corchia,Male,American,1935,
E. M. Cordier,Male,German,1903,1974
Lovis Corinth,Male,German,1858,1925
Eugène Corneau,Male,French,1894,1976
Corneille (Guillaume van Beverloo),Male,Dutch,1922,2010
Joseph Cornell,Male,American,1903,1972
Thomas Cornell,Male,American,1937,2012
Corning Glass Works,,American,1851,
Hector Coronado,Male,Mexican,1938,
Pedro Coronel,Male,Mexican,1923,1985
Jean-Baptiste-Camille Corot,Male,French,1796,1875
Antonio Corpora,Male,Italian,1909,2004
Gloria Cortella,Female,American,1929,
Erasto Cortes Juarez,Male,Mexican,,
Jean Cortot,Male,French,1925,
Steven Cortright,Male,American,1942,
Marie Cosindas,Female,American,1925,
Herman Costa,Male,American,1944,
Olga Costa,Female,Mexican,1913,1993
Toni Costa,Male,Italian,1935,2013
Flavio Costantini,Male,Italian,,
John Costigan,Male,American,1888,1972
Alan Cote,Male,American,1937,
Robert Cottingham,Male,American,1935,
Othon Coubine (or Otakar Kubin),Male,Czech,1883,1969
Jack Coughlin,Male,American,1932,
Graham Coughtry,Male,Canadian,1931,1999
Coulon,,French,1907,
Edward Countey,Male,American,1921,1984
Pierre Courtin,Male,French,1921,2012
Morison S. Cousins,Male,American,1934,2001
Lucien Coutaud,Male,French,1905,1977
Robert Couturier,Male,French,1905,2008
Wessel Couzijn,Male,Dutch,1912,1984
Miguel Covarrubias,Male,Mexican,1904,1957
John Covert,Male,American,1882,1960
Robert Cowan,Male,American,1930,
Clement Cowles,Male,British,,
George C. Cox,Male,American,1851,1902
Jan Cox,Male,Belgian,1919,1980
Douglas Craft,Male,American,1924,2015
Tony Cragg,Male,British,1949,
Edward Gordon Craig,Male,British,1872,1966
Michael Craig-Martin,Male,British,1941,
Konrad Cramer,Male,American,1888,1963
Martin Crampton,Male,Nationality unknown,,
Rollin Crampton,Male,American,1886,1970
Barbara Crane,Female,American,1928,
Meg Cranston,Female,American,1960,
Crash (John Matos),Male,American,1961,
Mario Cravo Junior,Male,Brazilian,1923,
Ralston Crawford,Male,American,1906,1978
John Craxton,Male,British,1922,2009
Robert Creeley,Male,American,1926,2005
Robert Cremean,Male,American,1932,
Leon Cremière,Male,French,1831,1913
Leonardo Cremonini,Male,Italian,1925,2010
L. Crenuere & Cie.,,French,,
Adolphe Crespin,Male,Belgian,1859,1944
Luca Crippa,Female,Italian,1924,2002
Roberto Crippa,Male,Italian,1921,1972
Renato Cristiano,Male,Italian,1926,
George P. Critcherson,Male,American,1823,1892
Allan Rohan Crite,Male,American,1910,2007
Ted Croner,Male,American,1922,2005
Henri-Edmond Cross,Male,French,1856,1910
Wim Crouwel,Male,Dutch,1928,
Robin Crozier,Male,British,1936,2001
George Cruikshank,Male,British,1792,1878
Jason Crum,Male,American,1935,2004
William Crutchfield,Male,American,1932,2015
Emilio Cruz,Male,American,1938,2004
Carlos Cruz-Diez,Male,Venezuelan,1923,
John J. Cu Roi,Male,American,1920,
Enzo Cucchi,Male,Italian,1949,
Cudsen,,British,,
José Luis Cuevas,Male,Mexican,1934,
Modest Cuixart,Male,Spanish,1925,2001
Gordon Cullen,Male,British,1914,
Ben L. Culwell,Male,American,1918,1992
Robert Cumming,Male,American,1943,
José Alfonso Cuni,Male,Nationality unknown,,
Imogen Cunningham,Female,American,1883,1976
Ben Cunningham (Benjamin Frazier Cunningham),Male,American,1904,1975
John Timothy Curran,Male,American,1938,
Anthony Currell,Male,British,1942,
William R. Current,Male,American,1923,
Francis Edmund Currey,Male,British,1814,1896
Charles H. Currier,Male,American,1851,1938
John Steuart Curry,Male,American,1897,1946
Rolf Curt,Male,German,,
Edward Curtis,Male,American,1868,1954
Lily Cushing,Female,American,1909,1969
Ronnie Cutrone,Male,American,1948,
Eugène Cuvelier,Male,French,1837,1900
Gunnar Cyrén,Male,Swedish,1931,
Jerzy Czerniawski,,Polish,1947,
Carl Otto Czeschka,Male,Austrian,1878,1960
Allan D'Arcangelo,Male,American,1930,1998
Lajos D'Ebneth,Male,Hungarian,1902,1982
Roél d'Haese,Male,Belgian,1921,1966
Alfredo da Silva,Male,Bolivian,1935,
Dagron & Cie.,,French,,
Louise Dahl-Wolfe,Female,American,1895,1989
Karl Fred Dahmen,Male,German,1917,1981
Walter Dahn,Male,German,1954,
Wolfgang Dahnke,Male,Nationality unknown,,
Michael D. Dailey,Male,American,1938,2009
Hajime Daito,Female,Japanese,,
Salvador Dalí,Male,Spanish,1904,1989
Francois Dallegret,Male,French,1937,
Gustaf Oscar Dalström,Male,American,1893,1971
Oskar Dalvit,Male,Swiss,1911,1975
Hubert Dalwood,Male,British,1924,1976
Horia Damian,Male,French,1922,
Jorge Damiani,Male,Uruguayan,1931,
